Timestamp,Drone_IP,Confidence,Size,Location_X,Location_Y,Source,Notes,Frame_Number,Network_Info
2025-04-12 06:38:35,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:35,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:35,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:36,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:36,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:36,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:37,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:37,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:37,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:37,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:38,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:38,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:38,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:38,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:39,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:39,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:39,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:40,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:40,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
2025-04-12 06:38:40,192.168.0.135,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane,N/A,"Host: Basedanurag, IP: 192.168.0.135"
