Timestamp,Confidence,Size,Location_X,Location_Y,Source,Notes
2025-04-11 15:15:14,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:14,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:14,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:14,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:15,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:15,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:15,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:15,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:16,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:16,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:16,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:16,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:17,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:17,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:17,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:17,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:18,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:18,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:18,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:18,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:19,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:19,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:19,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:19,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:20,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:20,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:20,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
2025-04-11 15:15:20,0.70,969x640,20,174,train_dataset\content\train_dataset\images\detected\pic_031.jpg,airplane
